neighbourhood,id,review_scores_rating,population,number_of_reviews
Santa Fe Springs,6390159.0,100.0,14866.0,3.0
Watts,9906899.0,100.0,40952.0,4.0
Baldwin Park,14345192.0,100.0,76571.0,5.5
Alondra Park,18638549.0,100.0,34924.0,1.0
Rolling Hills,1201362.0,100.0,25209.0,4.0
Compton,12020847.75,99.0,47151.25,13.5
Monterey Hills,10690352.5,99.0,58269.0,24.5
Irwindale,10860474.0,99.0,26074.0,15.0
Paramount,5262247.0,99.0,54099.0,151.0
South El Monte,14013142.0,99.0,43896.0,19.0
Downey,11204955.555555556,98.66666666666667,37135.333333333336,28.77777777777778
Elysian Valley,11541450.785714285,98.14285714285714,32371.85714285714,23.285714285714285
Huntington Park,8327410.666666667,98.0,75066.0,48.0
Harbor City,9590521.0,97.71428571428571,24865.714285714286,34.42857142857143
Montecito Heights,12743847.5,97.625,42205.25,10.875
Duarte,8860119.2,97.6,26074.0,5.4
West Puente Valley,10448429.25,97.5,30485.0,5.5
Glendora,13765921.916666666,97.5,25824.0,13.5
Palos Verdes,13999649.8,97.4,25209.0,23.8
Whittier,11521701.782608695,97.26086956521739,27187.17391304348,23.565217391304348
Arleta,14981316.0,97.0,69817.0,7.0
Norwalk,4821748.0,97.0,105549.0,11.5
Pico Rivera,10158148.777777778,97.0,62928.0,51.666666666666664
South Pasadena,11533649.96875,96.96875,26766.4375,24.625
Carson,10097427.818181818,96.81818181818181,48725.27272727273,54.45454545454545
Silver Lake,10954534.366666667,96.7025641025641,52185.19743589743,35.58974358974359
San Marino,13811173.166666666,96.66666666666667,13361.0,3.3333333333333335
Sherman Oaks,11537252.421965318,96.61271676300578,29011.236994219653,17.63583815028902
Sunland/Tujunga,10049172.866666667,96.6,27288.866666666665,29.733333333333334
Glassell Park,11093607.078947369,96.55263157894737,45527.0,23.157894736842106
Hawaiian Gardens,12623807.5,96.5,14184.0,18.5
La Puente,6516066.0,96.5,57762.5,4.5
North Hills East,8000768.333333333,96.5,60254.0,16.833333333333332
Culver City,11363426.8,96.496,28613.376,38.36
Cahuenga Pass,11592541.9375,96.46875,24562.0625,29.546875
Altadena,11512800.917647058,96.4,36109.85882352941,19.352941176470587
Burbank,11549085.141791046,96.3955223880597,24490.29104477612,33.82089552238806
Highland Park,11282004.237410072,96.36690647482014,62430.0,29.057553956834532
South Whittier,10663181.0,96.33333333333333,40023.0,24.666666666666668
Harbor Gateway,12012043.375,96.25,37993.9375,23.875
Lawndale,9996211.76923077,96.23076923076923,34924.0,46.76923076923077
Topanga,12054918.88983051,96.19491525423729,7392.669491525424,46.70338983050848
Toluca Lake,11475342.029411765,96.17647058823529,20950.70588235294,20.764705882352942
Encino,8943052.75925926,96.12962962962963,21541.925925925927,16.35185185185185
North Hills West,13796091.625,96.125,60254.0,14.75
Bell,4481427.0,96.0,101279.0,103.0
Commerce,8381377.0,96.0,12520.0,14.0
Azusa,13747099.166666666,96.0,59705.0,9.666666666666666
East Los Angeles,11659585.736842105,95.89473684210526,57207.47368421053,33.31578947368421
Laurel Canyon,11794556.833333334,95.8921568627451,40041.41176470588,31.11764705882353
Cerritos,13901003.083333334,95.83333333333333,42146.25,26.5
Torrance,13059978.0,95.74626865671642,37549.02985074627,26.37313432835821
Covina,10862243.727272727,95.72727272727273,23365.454545454544,27.181818181818183
Redondo Beach,10781935.059701493,95.70149253731343,36990.41791044776,26.417910447761194
Los Feliz,11774352.676470589,95.59411764705882,44941.876470588235,25.41176470588235
Pasadena,11432531.115384616,95.55244755244755,26561.982517482516,23.244755244755243
Hermon,14439264.272727273,95.54545454545455,62430.0,13.727272727272727
Cypress Park,8806168.818181818,95.54545454545455,45527.0,39.63636363636363
Hermosa Beach,12274958.153846154,95.53846153846153,20062.830769230768,23.661538461538463
Studio City,11945351.227941176,95.51470588235294,27301.91911764706,17.36764705882353
Rolling Hills Estates,6305463.5,95.5,25209.0,68.0
West Athens,7136501.0,95.5,69192.5,74.0
Palms,11543586.78,95.46,56679.55,14.45
Mount Washington,10018570.479452055,95.45205479452055,46831.20547945205,39.76712328767123
Echo Park,11214753.549132949,95.44508670520231,63919.18208092485,36.8150289017341
Glendale,11694929.04225352,95.43661971830986,24741.204225352114,26.04225352112676
Manhattan Beach,11828748.284210525,95.4,34805.96842105263,24.189473684210526
Marina Del Rey,11610390.738372093,95.32558139534883,21600.31976744186,30.848837209302324
Valley Village,12328966.034482758,95.3103448275862,29161.862068965518,21.17241379310345
La Canada Flintridge,10527062.1,95.3,20280.0,45.6
Woodland Hills/Warner Center,12238554.08490566,95.27358490566037,31949.830188679247,20.443396226415093
Lake Balboa,9626293.866666667,95.26666666666667,51079.46666666667,33.0
Westmont,11806907.5,95.25,58899.25,32.5
Eagle Rock,10687521.32142857,95.23809523809524,33727.42857142857,46.154761904761905
Lomita,10315117.0,95.23076923076923,21318.0,21.76923076923077
El Monte,10170370.933333334,95.2,50787.666666666664,30.133333333333333
Long Beach,10882911.318906605,95.15717539863326,37575.43735763098,30.027334851936217
Hollywood Hills,11818955.662303666,95.14397905759162,27389.1832460733,31.17801047120419
Winnetka,11022924.470588235,95.11764705882354,45061.0,18.176470588235293
La Mirada,13183647.1,95.1,49012.0,25.5
Brentwood,11263810.846153846,94.82692307692308,34767.32692307692,21.01923076923077
El Segundo,11519911.960784314,94.82352941176471,17016.37254901961,40.72549019607843
San Pedro,13191154.352941176,94.82352941176471,44923.44117647059,36.6764705882353
Northridge,11792337.705882354,94.79411764705883,31179.0,22.58823529411765
Atwater Village,11912719.606557377,94.75409836065573,28514.0,36.59016393442623
North Hollywood,11601898.397379912,94.75109170305677,41298.83406113537,23.930131004366814
Mar Vista,12050368.770491803,94.75,53848.69672131148,30.987704918032787
Sylmar,12042062.25,94.75,75613.75,14.625
Bel Air/Beverly Crest,10348998.461538462,94.74358974358974,20042.153846153848,17.91025641025641
Pacific Palisades,10701070.379310345,94.6896551724138,20805.2183908046,29.977011494252874
West Hollywood,11014539.203152364,94.6199649737303,35023.1295971979,31.54290718038529
Venice,11293704.349477682,94.61538461538461,28329.05128205128,45.0389363722697
Downtown,10324810.263843648,94.60912052117264,16111.8664495114,30.622149837133552
Porter Ranch,11834495.4,94.6,33708.0,12.0
Temple City,10320715.451612903,94.45161290322581,34179.06451612903,13.0
Monrovia,11503634.61904762,94.42857142857143,40598.0,21.952380952380953
Rosemead,11630390.611111112,94.38888888888889,62097.0,15.88888888888889
Westchester/Playa Del Rey,10524704.409638554,94.34939759036145,24592.475903614457,29.066265060240966
Arts District,11034472.818181818,94.25,20810.340909090908,25.65909090909091
Beverly Hills,11513872.209876543,94.23456790123457,14062.543209876543,19.320987654320987
South Robertson,10650699.607843136,94.22222222222223,38794.450980392154,19.575163398692812
Santa Monica,11352537.081447965,94.21493212669684,20650.158371040725,34.5972850678733
West Hills,11986889.068965517,94.13793103448276,33955.93103448276,15.586206896551724
Lakewood,8710153.857142856,94.07142857142857,30958.785714285714,20.0
West Los Angeles,11111486.678217823,94.04950495049505,40250.37128712871,23.574257425742573
East San Gabriel,10256698.4,94.0,23988.0,20.4
Sierra Madre,15483156.75,94.0,10917.0,34.5
La Crescenta-Montrose,11500352.25,94.0,27613.375,11.125
Malibu,11354049.40944882,93.98425196850394,18116.0,34.98425196850393
Alhambra,11339362.42857143,93.96825396825396,44908.23809523809,25.6984126984127
Tarzana,14029290.710526315,93.94736842105263,38911.68421052631,20.07894736842105
Skid Row,10688821.235294119,93.94117647058823,10369.941176470587,23.41176470588235
Mid-Wilshire,11553351.18115279,93.73284537968892,43026.51875571821,28.765782250686186
Baldwin Hills,11373806.611111112,93.72222222222223,36568.38888888889,13.944444444444445
Monterey Park,11513060.186046511,93.65116279069767,30733.720930232557,27.372093023255815
Bellflower,11576127.6,93.6,76615.0,8.2
Valley Glen,10862519.442307692,93.59615384615384,41187.67307692308,28.346153846153847
Del Rey,11276175.99408284,93.59171597633136,46105.952662721895,33.710059171597635
South San Gabriel,8511225.75,93.5,62097.0,35.0
El Sereno,12084242.884615384,93.46153846153847,45786.0,25.23076923076923
Westside,9969029.80672269,93.3529411764706,34083.94957983193,18.51260504201681
Gardena,11988310.976744186,93.25581395348837,42256.72093023256,17.372093023255815
East Hollywood,11404116.48951049,93.17482517482517,41993.81118881119,27.06993006993007
Mid-City,11282596.21686747,93.1566265060241,59411.16265060241,32.30722891566265
Inglewood,12069044.328947369,93.14473684210526,28049.82894736842,19.36842105263158
Hollywood,11242570.612149533,93.11121495327103,34053.70280373832,34.230841121495324
Montebello,9698033.75,93.0,62549.0,26.75
Sun Valley,12838553.75,93.0,43886.875,19.25
Rancho Palos Verdes,10562160.357142856,92.96428571428571,41065.107142857145,25.107142857142858
Panorama City,7095078.666666667,92.77777777777777,73580.55555555556,4.666666666666667
Canoga Park,11927647.5,92.6875,37082.0,15.5
Granada Hills North,10906034.266666668,92.53333333333333,50458.333333333336,26.666666666666668
Florence-Graham,16110176.5,92.5,57110.0,8.0
Westlake,10839096.081818182,92.42727272727272,37038.92272727273,33.17727272727273
Reseda,10646945.641025642,92.23076923076923,74363.0,9.717948717948717
Westwood,11037457.411764706,91.96791443850267,46905.70053475936,18.02139037433155
San Gabriel,11338180.744186046,91.37209302325581,37464.27906976744,25.906976744186046
Lincoln Heights,10737116.214285715,91.35714285714286,40044.73809523809,28.333333333333332
Boyle Heights,12621631.666666666,91.30952380952381,49792.357142857145,27.571428571428573
Hawthorne,10956174.743589744,91.12820512820512,84854.51282051283,26.487179487179485
Van Nuys,10777067.684210526,91.01754385964912,43824.21052631579,16.19298245614035
Bradbury,8657706.75,91.0,1391.0,29.5
Arcadia,10290817.905660378,90.98113207547169,33765.47169811321,11.735849056603774
West Adams,11213525.894117648,90.55294117647058,45854.14117647059,27.32941176470588
South LA,11219170.472392637,90.54601226993866,46345.74233128834,22.558282208588956
Chatsworth,11529274.0,90.5,42858.0,11.666666666666666
Signal Hill,9605635.166666666,90.5,19696.0,59.5
West Covina,8145467.739130435,89.3913043478261,35178.0,11.26086956521739
South Gate,1620039.0,88.0,94396.0,12.0
Lynwood,8726815.6,87.4,69745.0,73.0
Willowbrook,11529668.5,85.0,33912.0,43.5
Mission Hills,9403751.0,83.0,18496.0,14.0
Pacoima,17760417.333333332,80.0,103689.0,4.333333333333333
